Event_Title,Date,Time,Venue,Address,url,Latitude,Longitude
BROOKLYN SATURDAYS - RNB HIPHOP THROWBACKS PARTY LATIN,2024-12-07,21:00,The Black Rabbit,"85 Queen Street Melbourne, VIC 3000",https://www.eventbrite.com/e/brooklyn-saturdays-rnb-hiphop-throwbacks-party-latin-tickets-932351106257?aff=ebdssbdestsearch,-37.81636779999999,144.9611486
Pentridge Prison B Division Tours - November  2024 - January 2025,2024-12-07,10:30,Pentridge,"1 Champ Street Coburg, VIC 3058",https://www.eventbrite.com.au/e/pentridge-prison-b-division-tours-november-2024-january-2025-tickets-909565925167?aff=ebdssbdestsearch,-37.7370508,144.9677596
Lerdsila MuayThai Seminar,2024-12-07,13:00,Invictus Mixed Martial Arts,"2C Assembly Drive Tullamarine, VIC 3043",https://www.eventbrite.com.au/e/lerdsila-muaythai-seminar-tickets-1053050461277?aff=ebdssbdestsearch,-37.7131337,144.863238
"Hypnobirthing, Monash Clayton, Saturday December 7+14, 2025",2024-12-07,09:30,"Monash Medical Centre, Clayton Road, Clayton","246 Clayton Road Clayton, VIC 3168",https://www.eventbrite.com/e/hypnobirthing-monash-clayton-saturday-december-714-2025-tickets-1042507366597?aff=ebdssbdestsearch,-37.9205757,145.1227608
BONITA! Fiesta Latina,2024-12-07,20:30,160-162 Lygon St,"160-162 Lygon Street Carlton, VIC 3053",https://www.eventbrite.com.au/e/bonita-fiesta-latina-tickets-1049558516777?aff=ebdssbdestsearch,-37.8034379,144.9667234
Paint And Sip| Melbourne Working Holiday Girls,2024-12-07,18:30,"Roxy's Functions & Events, Alfred Place, South Melbourne VIC, Australia","2 Alfred Place South Melbourne, VIC 3205",https://www.eventbrite.com.au/e/paint-and-sip-melbourne-working-holiday-girls-tickets-1094772356589?aff=ebdssbdestsearch,-37.8314108,144.9592778
MANKIND (TAS) Take Stay Gold,2024-12-07,19:00,Stay Gold,"133 Sydney Rd Brunswick Melbourne, VIC 3056",https://www.eventbrite.com.au/e/mankind-tas-take-stay-gold-tickets-1094820901789?aff=ebdssbdestsearch,-37.7743822,144.9606172
"Clayton Childbirth education-Labour, Birth & Baby: 7th of Dec, 2024",2024-12-07,08:30,246 Clayton Rd,"246 Clayton Road Clayton, VIC 3168",https://www.eventbrite.com/e/clayton-childbirth-education-labour-birth-baby-7th-of-dec-2024-tickets-1036562555507?aff=ebdssbdestsearch,-37.9205757,145.1227608
One Spirit Africa @ BAR OUSSOU! ,2024-12-07,22:00,Bar Oussou,"653 Sydney Rd, Brunswick VIC 3056, Australia",https://www.facebook.com/events/3235245866617350/,-37.7618155,144.9628753
Tom Waits Day ,2024-12-07,19:00,Ragtime Tavern,"206 Tyler St, Preston VIC 3072, Australia",https://www.facebook.com/events/576870491358087/,-37.7310367,145.0142411
GOGO Group launch event “ASTRID” ~ local music ~ vintage fashion,2024-12-07,0:00,Mamma Chen's,"42A Albert St, Footscray VIC 3011, Australia",https://www.facebook.com/events/523681077163372/,-37.8047552,144.89727240000002
MDR Million Dollar Riff... Farewell Gig,2024-12-07,20:00,Lucky 13 Garage,"8 Cochranes Rd, Moorabbin VIC 3189, Australia",https://www.facebook.com/events/571689638547512/,-37.94349189,145.07036236060654
Jemma Cher,2024-12-07,18:00,Bird's Basement,"11 Singers Ln, Melbourne VIC 3000, Australia",https://www.facebook.com/events/505689158774765/,-37.81114416,144.95680390283175
Eat The Beat : Together,2024-12-07,0:00,New Guernica,"64 Smith St, Collingwood VIC 3066, Australia",https://www.facebook.com/events/557595343686869/,-37.80624775,144.98331211946754
"(Sat, Dec 7) THE CARTRIDGE FAMILY (George Lane Matinee Sessions)",2024-12-07,0:00,George Lane St Kilda,"1 George Ln, St Kilda VIC 3182, Australia",https://www.facebook.com/events/1235450207724200/,-37.85997305,144.9780306
Vox Chops | Brunswick Ballroom,2024-12-07,13:00,Brunswick Ballroom,"314 Sydney Rd, Brunswick VIC 3056, Australia",https://www.facebook.com/events/920552363157486/,-37.7704205,144.9617083
LandDownUnder In Concert - When AusMusic Took The 80's By Storm | Brunswick Ballroom,2024-12-07,18:30,Brunswick Ballroom,"314 Sydney Rd, Brunswick VIC 3056, Australia",https://www.facebook.com/events/1946164542524493/,-37.7704205,144.9617083
FULTON STREET 'Hard Truths' Album Launch ,2024-12-07,0:00,Wax Music Lounge,"250 Flinders St, Melbourne VIC 3000, Australia",https://www.facebook.com/events/478619644599035/,-37.8176298,144.9661635
Gordon Koang,2024-12-07,14:00,Retreat Hotel,"Level 1/280 Sydney Rd, Brunswick VIC 3056, Australia",https://www.facebook.com/events/585286370841289/,-37.7711487,144.9615949
SKA Legends = Double trouble!,2024-12-07,0:00,THE CURTIN (John Curtin hotel),"29 Lygon St, Carlton VIC 3053, Australia",https://www.facebook.com/events/297884510062494/,-37.8061581,144.9657057
Bachata Sensual Melbourne Weekender - Saturday party,2024-12-07,19:30,La Encantada Collective,"69 Abbotsford Street West Melbourne, VIC 3003",https://www.eventbrite.com.au/e/bachata-sensual-melbourne-weekender-saturday-party-tickets-1092702244829?aff=ebdssbdestsearch,-37.8064292,144.9443447
150 BPM X SALTARE PRES: V:SONNTAG [GERMANY],2024-12-07,19:00,Howler,"7-11 Dawson St, Brunswick VIC 3056, Australia",https://www.facebook.com/events/1926736231145832/,-37.7720304,144.9596527
Kingston Farmers' Market,2024-12-07,0:00,Kingston City Hall,"979-985 Nepean Hwy, Moorabbin VIC 3189, Australia",https://www.facebook.com/events/771688524974680/,-37.93372508,145.0352972005879
"DISGRUNTLED CIVIL SERVANT, UNSCORED, ZE WISENHEIMER & FOURTH - LIVE AT MAMMA CHEN’S",2024-12-07,19:00,Mamma Chen's,"42A Albert St, Footscray VIC 3011, Australia",https://www.facebook.com/events/881659227388486/,-37.8047552,144.89727240000002
Dirty Rats Xmas Break Up with Special Guests New Age ! Wayne's back !,2024-12-07,0:00,Mr Boogie Man Bar,"160 Hoddle St, Abbotsford VIC 3067, Australia",https://www.facebook.com/events/454925357235617/,-37.80245,144.99295304614787
Ramble Tamble Christmas Show @ Oakleigh Music Hall,2024-12-07,20:30,Oakleigh Carnegie RSL,"95/97 Drummond St, Oakleigh VIC 3166, Australia",https://www.facebook.com/events/432473559634394/,-37.8968576,145.08963741959553
Section 8 x Scuffed Recordings: Hedchef 'Time's Up' Release Party,2024-12-07,0:00,Section 8,"27-29 Tattersalls Ln, Melbourne VIC 3000, Australia",https://www.facebook.com/events/1008760291008021/,-37.8117457,144.965405
Wombatuque Farewell to Open Studio Party!,2024-12-07,00:00,Open Studio,"204 High St, Northcote VIC 3070, Australia",https://www.facebook.com/events/1675657812977875/,-37.7742382,144.9981587
(SOLD OUT) Frankie Valli & The 4 Seasons VS. Beach Boys | Dinner & Show,2024-12-07,0:00,arcobar heatherton,"8 Arco Ln, Heatherton VIC 3202, Australia",https://www.facebook.com/events/1011593337087604/,-37.94673685,145.07837928457485
A CRACKER KRANSKY CHRISTMAS with THE KRANSKY SISTERS | MEMO Music Hall - MELBOURNE,2024-12-07,0:00,MEMO Music Hall,"88 Acland St, St Kilda VIC 3182, Australia",https://www.facebook.com/events/1077738403774124/?event_time_id=1113987773482520,-37.8671902,144.9786817
MELBOURNE - 10 YEARS ,2024-12-07,20:00,The Last Chance,"238 Victoria St, Melbourne VIC 3000, Australia",https://www.facebook.com/events/811060947699669/,-37.8059962,144.9585654
Claire Birchall's  'The Haunting' Album Launch,2024-12-07,20:00,Cactus Room,"614 High St, Thornbury VIC 3071, Australia",https://www.facebook.com/events/1739497739930389/,-37.76125825,145.00041662186553
TERAMAZE w/Order Of Owls // Paeon // Adularia,2024-12-07,20:00,The Workers Club,"51 Brunswick St, Fitzroy VIC 3065, Australia",https://www.facebook.com/events/967993308679456/,-37.8055776,144.9769450659087
"Michael Ward Australian Tour - Workers Club, Fitzroy with Ally Row + HAZEL & The thief",2024-12-07,0:00,The Workers Club,"51 Brunswick St, Fitzroy VIC 3065, Australia",https://www.facebook.com/events/542160445024593/,-37.8055776,144.9769450659087
"𝐈𝐧𝐟𝐢𝐧𝐢𝐭𝐲 𝐒𝐨𝐧𝐠 (𝐔𝐒𝐀) | Night cat, Melbourne",2024-12-07,19:00,The Night Cat,"137-141 Johnston St, Fitzroy VIC 3065, Australia",https://www.facebook.com/events/437216939124877/,-37.7982971,144.978128
Joe Camilleri & The Black Sorrows,2024-12-07,0:00,Musicland Melbourne,"1359 Sydney Rd, Fawkner VIC 3060, Australia",https://www.facebook.com/events/504460198628939/,-37.6916774,144.9585701581541
Official JMFF After Party,2024-12-07,21:00,Kindred Bandroom,"3 Harris St, Footscray VIC 3011, Australia",https://www.facebook.com/events/1209798760167245/,-37.8119001,144.9008247
SCARES: Live at the Bergy Bandroom w. Queen Hyena & Gull,2024-12-07,14:00,Bergy Bandroom,"64 Sydney Rd, Brunswick VIC 3056, Australia",https://www.facebook.com/events/1545485366327316/,-37.776327,144.9607158
Three Cheers For Twenty Years: My Chemical Romance Night - Melbourne,2024-12-07,23:00,Stay Gold,"133 Sydney Rd, Brunswick VIC 3056, Australia",https://www.facebook.com/events/9321070574575150/,-37.7743469,144.9607404
The Show 2024 POP CHOIR Hearts Beating Loud,2024-12-07,19:30,Palais Theatre,"Lower Esplanade, St Kilda VIC 3182, Australia",https://www.facebook.com/events/529233529470528/,-37.86708671,144.97599656199426
Nursery Crimes first headline show in 17 years!,2024-12-07,20:00,Shotkickers,"744 High St, Thornbury VIC 3071, Australia",https://www.facebook.com/events/2045166809276434/,-37.75592655,145.0013923
MANKIND (Tas) Take STAY GOLD w/Lazerlips & Blue Tongue Wizard,2024-12-07,19:00,Stay Gold,"133 Sydney Rd, Brunswick VIC 3056, Australia",https://www.facebook.com/events/8741751219193848/,-37.7743469,144.9607404
"James Marriott at Northcote Theatre, Melbourne (Unlicensed All Ages)",2024-12-08,19:00,Northcote Theatre,"216 High St, Northcote VIC 3070, Australia",https://www.facebook.com/events/725997812926777/,-37.7737068,144.9982706
The Rartel & Planets Caravan At The Old Bar,2024-12-08,16:00,The Old Bar,"74-76 Johnston St, Fitzroy VIC 3065, Australia",https://www.facebook.com/events/1233080594682590/,-37.79833,144.97711
The Herberts Christmas Show @ Oakleigh Music Hall,2024-12-08,14:30,Oakleigh Carnegie RSL,"95/97 Drummond St, Oakleigh VIC 3166, Australia",https://www.facebook.com/events/740031578235967/,-37.8968576,145.08963741959553
CRAFTERNOON,2024-12-08,00:00,Mamma Chen's,"42A Albert St, Footscray VIC 3011, Australia",https://www.facebook.com/events/434407092884738/,-37.8047552,144.89727240000002
Domingo Latino - La Influencia,2024-12-08,18:45,The Night Cat,"137-141 Johnston St, Fitzroy VIC 3065, Australia",https://www.facebook.com/events/539382388707084/,-37.7982971,144.978128
 FREE SUNDAY LIVE MUSIC | Peter Sullivan Trio,2024-12-08,00:00,arcobar heatherton,"8 Arco Ln, Heatherton VIC 3202, Australia",https://www.facebook.com/events/1102114324824917/,-37.94673685,145.07837928457485
Rebecca Barnard & Billy Miller's Silly Season Singalong | MEMO Music Hall,2024-12-08,15:00,MEMO Music Hall,"88 Acland St, St Kilda VIC 3182, Australia",https://www.facebook.com/events/1431901437517606/,-37.8671902,144.9786817
***SOLD OUT*** ROSS WILSON & THE PEACENIKS,2024-12-08,14:00,Way Out West Roots Music Club,"4 Market St, Newport VIC 3015, Australia",https://www.facebook.com/events/26559182147062741/,-37.8439028,144.8823845
"Unshakable Love: A Night of Poetry, Passion & Connection – Artist Talk.02",2024-12-08,00:00,Mamma Chen's,"42A Albert St, Footscray VIC 3011, Australia",https://www.facebook.com/events/503873429350580/,-37.8047552,144.89727240000002
Jim Moginie ,2024-12-08,18:30,Brunswick Ballroom,"314 Sydney Rd, Brunswick VIC 3056, Australia",https://www.facebook.com/events/3680713848907707/,-37.7704205,144.9617083
Bachata Sensual Master class with Aitor & Angelica Sunday 8th Dec,2024-12-08,12:00,La Encantada Collective,"69 Abbotsford Street West Melbourne, VIC 3003",https://www.eventbrite.com.au/e/bachata-sensual-master-class-with-aitor-angelica-sunday-8th-dec-tickets-1095620322879?aff=ebdssbdestsearch,-37.8064292,144.9443447
"(Sun, Dec  THE CALEDONIAN CASTAWAYS",2024-12-08,0:00,George Lane St Kilda,"1 George Ln, St Kilda VIC 3182, Australia",https://www.facebook.com/events/1073778794069623/,-37.85997305,144.9780306
"Reuben De Melo @ Melbourne Public, VIC (*ALL AGES)",2024-12-08,14:30,Melbourne Public,"11 Dukes Walk, South Wharf VIC 3006, Australia",https://www.facebook.com/events/450388088082419/,-37.82429308,144.95070613387392
"Sunday School: Blue Tongue Wizard, Wet Love, Hypnotic State",2024-12-08,0:00,Bergy Bandroom,"64 Sydney Rd, Brunswick VIC 3056, Australia",https://www.facebook.com/events/578201221256142/,-37.776327,144.9607158
THE HACKKETS // NOISE SCAVENGERS // JAMES HULLICK,2024-12-08,0:00,JOLT Arts,"342 High St, Northcote VIC 3070, Australia",https://www.facebook.com/events/891020949804153/,-37.76999425,144.99908686916982
Sabor Y Ritmo - Afro-Cuban Jazz at the Paris Cat,2024-12-08,0:00,Paris Cat Jazz Club,"6 Goldie Pl, Melbourne VIC 3000, Australia",https://www.facebook.com/events/1744326796398144/,-37.8133262,144.96060714767358
Lakeview,2024-12-08,0:00,Bad Decisions Bar,"46 Johnston St, Fitzroy VIC 3065, Australia",https://www.facebook.com/events/1098212474573374/,-37.798246,144.9762881
Sunday Fundays - The Marty Rose Band,2024-12-08,00:00,Musicland Melbourne,"1359 Sydney Rd, Fawkner VIC 3060, Australia",https://www.facebook.com/events/1596218534622690/,-37.6916774,144.9585701581541
Carols by Kingston 2024,2024-12-08,0:00,Kingston City Hall,"979-985 Nepean Hwy, Moorabbin VIC 3189, Australia",https://www.facebook.com/events/1259790941826118/,-37.93372508,145.0352972005879
Juliet Fox - Revolver Sundays,2024-12-08,21:00,Revolver Upstairs,"Level 2/229 Chapel St, Prahran VIC 3181, Australia",https://www.facebook.com/events/1724506751461831/,-37.8505902,144.9933469
Jaspar Gubbay @ BAR OUSSOU!,2024-12-08,17:00,Bar Oussou,"653 Sydney Rd, Brunswick VIC 3056, Australia",https://www.facebook.com/events/554010087363080/,-37.7618155,144.9628753
Circling Crows Album Launch,2024-12-08,14:00,Kindred Bandroom,"3 Harris St, Footscray VIC 3011, Australia",https://www.facebook.com/events/1581752352778393/,-37.8119001,144.9008247
d00b's MIXTAPE LAUNCH PARTY!,2024-12-08,19:00,Nighthawks,"136 Johnston Street Collingwood, VIC 3066",https://www.eventbrite.com/e/d00bs-mixtape-launch-party-tickets-1039868573897?aff=ebdssbdestsearch,-37.799333,144.989527
MTG - Foundations DRAFT - Gameology BRUNSWICK - 08/12/2024,2024-12-08,12:00,Gameology Brunswick,"36 Hope Street Brunswick, VIC 3056",https://www.eventbrite.com.au/e/mtg-foundations-draft-gameology-brunswick-08122024-tickets-1054467533779?aff=ebdssbdestsearch,-37.7636924,144.9595539
Sushi Sundays  at Secret Garden,2024-12-08,14:00,Secret Garden Bar,"60 Fitzroy Street #7 St Kilda, VIC 3182",https://www.eventbrite.com.au/e/sushi-sundays-at-secret-garden-tickets-1027628854567?aff=ebdssbdestsearch,-37.8592634,144.9773182
Nick Charles  & Mick Pealing with The Long Road Home at The Lomond Hotel.,2024-12-08,16:30,The Lomond Hotel,"225 Nicholson Street Brunswick East, VIC 3057",https://www.eventbrite.com.au/e/nick-charles-mick-pealing-with-the-long-road-home-at-the-lomond-hotel-tickets-1078414991269?aff=ebdssbdestsearch,-37.7670861,144.9800057
"Kirtan Fest 2024 - A Whole Day of Mantra, Chanting, Community & Love.",2024-12-08,10:00,Centre of You,"Upstairs, 217 Chapel St Prahran Melbourne, VIC 3181",https://www.eventbrite.com.au/e/kirtan-fest-2024-a-whole-day-of-mantra-chanting-community-love-tickets-1036563117187?aff=ebdssbdestsearch,-37.8509316,144.9933031
"SUNDAY - Fitzroy Market (October, November and December 2025)",2024-12-08,10:00,Fitzroy Mills Market,"75 Rose Street Fitzroy, VIC 3065",https://www.eventbrite.com.au/e/sunday-fitzroy-market-october-november-and-december-2025-tickets-1003306696337?aff=ebdssbdestsearch,-37.7956693,144.9779514
CCCS Conference 2024: Grounding Global China,2024-12-08,9:00,Sidney Myer Asia Institute,"761 Swanston Street #325 Parkville, VIC 3052",https://www.eventbrite.com.au/e/cccs-conference-2024-grounding-global-china-tickets-911006022537?aff=ebdssbdestsearch,,
Screening of John Hughes' documentary TWILIGHT TIME @ Cinema Nova,2024-12-08,16:30,Cinema Nova,"380 Lygon Street Carlton, VIC 3053",https://www.eventbrite.com/e/screening-of-john-hughes-documentary-twilight-time-cinema-nova-tickets-1052896761557?aff=ebdssbdestsearch,-37.7981335,144.9677286
Christmas Bloom Wreath Workshop by Alula Fox at BOHO LUXE MARKET,2024-12-08,10:00,The Atrium,"Flinders Street Melbourne, VIC 3000",https://www.eventbrite.com/e/christmas-bloom-wreath-workshop-by-alula-fox-at-boho-luxe-market-tickets-1085826960669?aff=ebdssbdestsearch,-37.8185815,144.9637799
The Breath Code End of Year Event,2024-12-08,14:00,infinite co studio,"14 Pakington Street St Kilda, VIC 3182",https://www.eventbrite.com.au/e/the-breath-code-end-of-year-event-tickets-1088529132939?aff=ebdssbdestsearch,-37.8655601,144.9873231
Lomond Hotel Artisan Market,2024-12-08,11:00,The Lomond Hotel,"225 Nicholson Street Brunswick East, VIC 3057",https://www.eventbrite.com.au/e/lomond-hotel-artisan-market-registration-955874746097?aff=ebdssbdestsearch,-37.7670861,144.9800057
Social Clay - Make Your Own Face Planter -  Melbourne,2024-12-08,11:00,Urth Clay Studio,"68B Bulla Road Strathmore, VIC 3041",https://www.eventbrite.com.au/e/social-clay-make-your-own-face-planter-melbourne-tickets-772716795737?aff=ebdssbdestsearch,-37.7376746,144.9064462
Nomad Living Room Hand-poke Tattoo Workshop,2024-12-08,17:30,2 King William St,"2 King William Street Fitzroy, VIC 3065",https://www.eventbrite.com/e/nomad-living-room-hand-poke-tattoo-workshop-tickets-1098001164039?aff=ebdssbdestsearch,-37.80220509999999,144.9751437
Open Day at La Trobe's Cottage,2024-12-08,13:00,La Trobe's Cottage,"Dallas Brooks Drive Melbourne, VIC 3004",https://www.eventbrite.com.au/e/open-day-at-la-trobes-cottage-tickets-911860357877?aff=ebdssbdestsearch,-37.8304573,144.9768439
Lakeview,2024-12-08,19:30,Bad Decisions Bar,"46 Johnston Street Fitzroy, VIC 3065",https://www.eventbrite.com.au/e/lakeview-tickets-1059252455609?aff=ebdssbdestsearch,-37.7982682,144.9762913
Create and Bloom Crown and Vase Workshop by Alula Fox at BOHO LUXE MARKET,2024-12-08,10:30,The Atrium,"Flinders Street Melbourne, VIC 3000",https://www.eventbrite.com/e/create-and-bloom-crown-and-vase-workshop-by-alula-fox-at-boho-luxe-market-tickets-1085808445289?aff=ebdssbdestsearch,-37.8185815,144.9637799
Bachata Beach Party Sunday 8th Dec - Bachata Sensual Melbourne Weekender,2024-12-08,17:30,West Beach Pavilion,"330A Beaconsfield Parade Saint Kilda West, VIC 3182",https://www.eventbrite.com.au/e/bachata-beach-party-sunday-8th-dec-bachata-sensual-melbourne-weekender-tickets-1092792284139?aff=ebdssbdestsearch,-37.8582372,144.9682824
Dungeons & Flagons: One-Shot (MELB),2024-12-08,13:00,Fortress Melbourne,"23 Caledonian Lane Melbourne, VIC 3000",https://www.eventbrite.com.au/e/dungeons-flagons-one-shot-melb-tickets-938010042287?aff=ebdssbdestsearch,-37.8120726,144.9637077
Sound Healing - Vibro Acoustic Sound Bath with Romy,2024-12-08,17:30,Private Studio in St Kilda East (see email for address),"Alma Road St Kilda East, VIC 3183",https://www.eventbrite.com.au/e/sound-healing-vibro-acoustic-sound-bath-with-romy-tickets-1076302793629?aff=ebdssbdestsearch,-37.8626178,145.0005983
Crystal Aura Workshop by Alula Fox at BOHO LUXE MARKET,2024-12-08,10:00,The Atrium,"Flinders Street Melbourne, VIC 3000",https://www.eventbrite.com/e/crystal-aura-workshop-by-alula-fox-at-boho-luxe-market-tickets-1085849257359?aff=ebdssbdestsearch,-37.8185815,144.9637799
"REFRESH - Let go to  Reset, Restart, Refocus",2024-12-08,10:00,116 Somerville Rd,"116 Somerville Road Yarraville, VIC 3013",https://www.eventbrite.com.au/e/refresh-let-go-to-reset-restart-refocus-tickets-1077129747069?aff=ebdssbdestsearch,-37.8131237,144.8876175
Gospel Lunch at The Lomond Hotel,2024-12-08,12:00,The Lomond Hotel,"225 Nicholson Street Brunswick East, VIC 3057",https://www.eventbrite.com.au/e/gospel-lunch-at-the-lomond-hotel-tickets-1078373116019?aff=ebdssbdestsearch,-37.7670861,144.9800057
The Witches Faire,2024-12-08,10:00,Hawthorn Arts Centre,"360 Burwood Road Hawthorn, VIC 3122",https://www.eventbrite.com/e/the-witches-faire-tickets-1023098153117?aff=ebdssbdestsearch,-37.8230335,145.03588565533943
Pentridge Prison Tours: Prisonbreak Explorers -Family Tour Nov 24- Jan 2025,2024-12-08,10:30,Pentridge,"1 Champ Street Coburg, VIC 3058",https://www.eventbrite.com.au/e/pentridge-prison-tours-prisonbreak-explorers-family-tour-nov-24-jan-2025-tickets-909551792897?aff=ebdssbdestsearch,-37.7370508,144.9677596
Moreland City Soul Revue at The Lomond Hotel.,2024-12-08,20:00,The Lomond Hotel,"225 Nicholson Street Brunswick East, VIC 3057",https://www.eventbrite.com.au/e/moreland-city-soul-revue-at-the-lomond-hotel-tickets-1083681272859?aff=ebdssbdestsearch,-37.7670861,144.9800057
Bachata Ladies' Styling workshop with Angelica,2024-12-08,13:00,La Encantada Collective,"69 Abbotsford Street West Melbourne, VIC 3003",https://www.eventbrite.com.au/e/bachata-ladies-styling-workshop-with-angelica-tickets-1096678548059?aff=ebdssbdestsearch,-37.8064292,144.9443447
Toujours L'amour - Alan Kogosowski and Galit Klas,2024-12-08,14:30,Stonnington Uniting Church,"59 Burke Road Malvern East, VIC 3145",https://www.eventbrite.com.au/e/toujours-lamour-alan-kogosowski-and-galit-klas-tickets-1008870808747?aff=ebdssbdestsearch,-37.8722218,145.0486365
Labassa Open Day 2024,2024-12-08,10:30,Labassa,"2 Manor Grove Caulfield North, VIC 3161",https://www.eventbrite.com.au/e/labassa-open-day-2024-tickets-946027151677?aff=ebdssbdestsearch,-37.8695166,145.0090308
Christmas Champagne & Seafood Brunch,2024-12-08,11:15,131 Harbour Esplanade,"131 Harbour Esplanade Docklands, VIC 3008",https://www.eventbrite.com/e/christmas-champagne-seafood-brunch-tickets-1097746753089?aff=ebdssbdestsearch,-37.81707129999999,144.9453813
Sama Sama Salu Salo - A Filipino Christmas Feast,2024-12-08,11:00,"Queen Victoria Market, Queen Street, Melbourne VIC, Australia","Queen Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/sama-sama-salu-salo-a-filipino-christmas-feast-tickets-1080279849109?aff=ebdssbdestsearch,-37.8127603,144.9597505
Friends On Purpose: Christmas Creations,2024-12-08,15:00,Two Hands Rooftop Bar & Beer Garden Eatery,"311A Victoria Street Abbotsford, VIC 3067",https://www.eventbrite.com.au/e/friends-on-purpose-christmas-creations-tickets-1086524527109?aff=ebdssbdestsearch,-37.8097957,144.995176
Conscious Connection | Friendsmas Dinner (20-40),2024-12-08,16:00,Northside Wines,"543-545 High Street Northcote, VIC 3070",https://www.eventbrite.com.au/e/conscious-connection-friendsmas-dinner-20-40-tickets-1088456455559?aff=ebdssbdestsearch,-37.7642271,144.9994439
High Cheese at Rippon Lea Estate  presented by Showtime Event Group.,2024-12-08,11:00,Rippon Lea Estate,"192 Hotham Street Elsternwick, VIC 3185",https://www.eventbrite.com.au/e/high-cheese-at-rippon-lea-estate-presented-by-showtime-event-group-tickets-1054614904569?aff=ebdssbdestsearch,-37.8786264,144.9978144
Wei’s Family  and Friends’ concert (7)Yummy music 2024,2024-12-08,02:00,Eltham,"7 HILLCREST AVE ELTHAM VIC 3095 Eltham, VIC 3095",https://www.eventbrite.com.au/e/weis-family-and-friends-concert-7yummy-music-2024-tickets-1064121890219?aff=ebdssbdestsearch,-37.727643,145.1530617
MCW End Game 2024,2024-12-08,15:00,Melbourne Pavilion,"135-157 Racecourse Road Kensington, VIC 3031",https://www.eventbrite.com.au/e/mcw-end-game-2024-tickets-1006014355017?aff=ebdssbdestsearch,-37.7889557,144.9363556
"Unshakable Love: A Night of Poetry, Passion & Connection – Artist Talk.02",2024-12-08,05:15,Mamma Chen's,"42A Albert Street Footscray, VIC 3011",https://www.eventbrite.com.au/e/unshakable-love-a-night-of-poetry-passion-connection-artist-talk02-tickets-1091836264659?aff=ebdssbdestsearch,-37.80225,144.897519
Cardfight! Vanguard - BT05 SNEAK PREVIEW - Gameology CLAYTON SOUTH - 08/12,2024-12-08,12:30,Gameology,"12 Eileen Road Clayton South, VIC 3169",https://www.eventbrite.com.au/e/cardfight-vanguard-bt05-sneak-preview-gameology-clayton-south-0812-tickets-1043395272347?aff=ebdssbdestsearch,-37.9512104,145.1347381
Republic Sundown,2024-12-08,16:00,Prince Deck,"2 Acland Street St Kilda, VIC 3182",https://www.eventbrite.com.au/e/republic-sundown-tickets-1091853516259?aff=ebdssbdestsearch,-37.8622387,144.9740006
High Tea on Little Lonsdale,2024-12-08,13:30,Dorsett Melbourne,"615 Little Lonsdale Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/high-tea-on-little-lonsdale-tickets-1081262809169?aff=ebdssbdestsearch,-37.8139857,144.9532276
Music Appreciation With Carmen Hendricks- Live at LOEV- Sun Dec 8th,2024-12-08,14:00,LOEV,"77 Keys Road Moorabbin, VIC 3189",https://www.eventbrite.com.au/e/music-appreciation-with-carmen-hendricks-live-at-loev-sun-dec-8th-tickets-1047508725797?aff=ebdssbdestsearch,-37.9484271,145.067727
V Wine Salon x Marco Dazzan 2.0,2024-12-08,14:00,V Wine Salon,"673 Bourke Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/v-wine-salon-x-marco-dazzan-20-tickets-1072851290089?aff=ebdssbdestsearch,-37.8172245,144.9540853
Paint and Sip Classes in Melbourne,2024-12-08,18:00,"555 Flinders Ln, Melbourne VIC 3000, Australia","555 Flinders Ln Melbourne, VIC 3008",https://www.eventbrite.com.au/e/paint-and-sip-classes-in-melbourne-tickets-1053155599749?aff=ebdssbdestsearch,-37.819944,144.955791
FoodSocial Italian Christmas in Abruzzo,2024-12-08,11:00,Mamma's Boy Trattoria,"10 Tripovich Street #6 Brunswick, VIC 3056",https://www.eventbrite.com.au/e/foodsocial-italian-christmas-in-abruzzo-tickets-1061776505109?aff=ebdssbdestsearch,-37.7662381,144.9617144
Morning Melodies 2024 Season,2024-12-09,0:00,Arts Centre Melbourne,"100 St Kilda Rd, Southbank VIC 3004, Australia",https://www.facebook.com/events/344932704872465/,-37.8216405,144.9683143
Microsoft Power BI 2 Days Training in Melbourne,2024-12-09,09:00,For venue details reach us at info@mangates.com,"PH: + 61(0) 2 80155605 Melbourne, VIC 3000",https://www.eventbrite.com/e/microsoft-power-bi-2-days-training-in-melbourne-tickets-842701130767?aff=ebdssbdestsearch,-37.8152065,144.963937
Agile Scrum Master 2 Days Training in Melbourne,2024-12-09,09:00,For venue details reach us at info@academyforpros.com,"PH: + 61(0) 2 80155605 Melbourne, VIC 3000",https://www.eventbrite.ca/e/agile-scrum-master-2-days-training-in-melbourne-tickets-834745906477?aff=ebdssbdestsearch,-37.8152065,144.963937
Financial and Basic Accounting Principles for PM Training in Melbourne,2024-12-09,09:00,For venue details reach us at info@academyforpros.com,"PH: + 61(0) 2 80155605 Melbourne, VIC 3000",https://www.eventbrite.ca/e/financial-and-basic-accounting-principles-for-pm-training-in-melbourne-tickets-835588296087?aff=ebdssbdestsearch,-37.8152065,144.963937
